,Name,Description,URL,Upvotes,Pricing,Reviews,Product Rating,Comments,Day Rank,Week Rank
0,Polar Habits,Build lasting habits without the guilt of broken streaks,https://www.producthunt.com/posts/polar-habits-2/embed,779,Free Options,14,4.5/5 ★,126,#1,#6
1,socra,Crush your goals with AI,https://www.producthunt.com/posts/socra/embed,331,Free,1,5/5 ★,68,#2,#18
2,Heydai,Know where your time goes,https://www.producthunt.com/posts/heydai/embed,298,Free Options,4,5/5 ★,82,#3,#22
3,Freelancer Stash,The best tools & resources for freelancing,https://www.producthunt.com/posts/freelancer-stash/embed,235,Free,1,5/5 ★,54,#4,#29
4,GPT Quiz Maker for Google Forms,Make a quiz with AI and ChatGPT in just 1 click,https://www.producthunt.com/posts/gpt-quiz-maker-for-google-forms/embed,151,Free Options,0,,38,#5,#40
5,FibonacciKu,Personalized AI learning assistant for teachers and students,https://www.producthunt.com/posts/fibonacciku/embed,115,Free,1,5/5 ★,29,#6,#48
6,Avra Core,"Think positively, change your life",https://www.producthunt.com/posts/avra-core/embed,105,Free,1,5/5 ★,47,#7,#56
7,Habit Tracker,Simple and user friendly habit tracker,https://www.producthunt.com/posts/habit-tracker-8/embed,84,Free Options,5,4.8/5 ★,26,#8,#66
8,Legalify ADS,High quality traffic filtering platform,https://www.producthunt.com/posts/legalify-ads/embed,74,Payment Required,2,5/5 ★,43,#9,#72
9,Warcraft® Rumble™,Build your army of Minis,https://www.producthunt.com/posts/warcraft-rumble/embed,74,Free,0,,25,#10,#71
10,2023 Wrapped Code Stats,"Most used languages, IDEs, and stats of developers in 2023",https://www.producthunt.com/posts/2023-wrapped-code-stats/embed,53,Free,30,5/5 ★,6,#11,#92
11,Lottiebox,Get rid of boring and slow web experiences,https://www.producthunt.com/posts/lottiebox/embed,514,Payment Required,3,5/5 ★,108,#1,#9
12,crewAI,Platform for building sophisticated multi-agent interactions,https://www.producthunt.com/posts/crewai/embed,464,Free,0,,56,#2,#16
13,Micro Habits,Breaking your goal into micro habit to achive greatness,https://www.producthunt.com/posts/micro-habits-6/embed,271,Free Options,2,5/5 ★,83,#3,#23
14,Memoru Flashcards,Ace your studies with Memoru flashcards,https://www.producthunt.com/posts/memoru-flashcards/embed,191,Free,1,5/5 ★,60,#4,#32
15,Ferret,Refer and ground anything anywhere at any granularity,https://www.producthunt.com/posts/ferret/embed,136,Free,1,5/5 ★,21,#5,#42
16,FrequentlyAskedAI,"Build an AI FAQ, answer any customer question in seconds",https://www.producthunt.com/posts/frequentlyaskedai/embed,132,Payment Required,0,,44,#6,#44
17,Adcolabs Scraper,Webscraping meets Browserautomation,https://www.producthunt.com/posts/adcolabs-scraper/embed,121,Free Options,1,5/5 ★,54,#7,#49
18,Your News,"Personalized feed reader, RSS & YouTube",https://www.producthunt.com/posts/your-news/embed,103,Free,0,,50,#8,#53
19,Xypher,Effortless file sharing with a single command,https://www.producthunt.com/posts/xypher/embed,68,Free Options,0,,11,#9,#70
20,MyInvestment-AI,"AI helps secure wealth, trusted by 300+ users",https://www.producthunt.com/posts/myinvestment-ai/embed,71,Payment Required,1,5/5 ★,18,#10,#68
21,Ahead,Duolingo for emotional intelligence,https://www.producthunt.com/posts/ahead-d7a13334-9084-4675-afdf-b5cf0026fd81/embed,76,Free,11,5/5 ★,9,#11,#74
22,dataplots,Hire top data talent in Latin America,https://www.producthunt.com/posts/dataplots/embed,57,,0,,29,#12,#79
23,Paper Billionaires,Book club for entrepreneurs,https://www.producthunt.com/posts/paper-billionaires/embed,17,,1,5/5 ★,2,#13,#110
24,Open Love,"Your perfect AI girlfriend, talk about anything you desire",https://www.producthunt.com/posts/open-love/embed,60,Free Options,0,,19,#14,#86
25,My Year,"Speed journaling, life metrics for the modern human",https://www.producthunt.com/posts/my-year-2/embed,34,Free,4,5/5 ★,2,#15,#107
26,Captiwiz,Generate stylish captions with AI & gain thousands of views,https://www.producthunt.com/posts/captiwiz/embed,28,Free Options,2,5/5 ★,20,-,#88
27,RawuserAI - Transform Your Website,"Tailoring the web, one visitor at a time",https://www.producthunt.com/posts/rawuserai-transform-your-website/embed,106,Free Options,2,5/5 ★,59,-,#47
28,LeadrPro for Events,The networking app for events,https://www.producthunt.com/posts/leadrpro-for-events/embed,650,Free,34,4.8/5 ★,147,#1,#4
29,Confidence,An experimentation platform made with love at Spotify,https://www.producthunt.com/posts/confidence-2/embed,505,Payment Required,0,,50,#2,#10
30,Record Once,Create video tutorials with AI that edits and fixes mistakes,https://www.producthunt.com/posts/record-once/embed,497,Free Options,3,3.7/5 ★,139,#3,#13
31,Preline UI v2.0,Open source Tailwind CSS component library,https://www.producthunt.com/posts/preline-ui-v2-0/embed,372,Free,8,5/5 ★,72,#4,#20
32,Telegram 10,"Colorful calls, Thanos snap & an epic update for bots",https://www.producthunt.com/posts/telegram-10/embed,285,Free,294,4.9/5 ★,37,#5,#24
33,ApparenceKit,Launch profitable mobile + web apps at light speed,https://www.producthunt.com/posts/apparencekit-2/embed,279,Payment Required,4,5/5 ★,52,#6,#26
34,Moodboard Creator,AI powered tool to kick off branding projects,https://www.producthunt.com/posts/moodboard-creator/embed,230,Free,1,5/5 ★,43,#7,#30
35,WordSnap - AI Flashcards Maker,Visual vocabulary builder,https://www.producthunt.com/posts/wordsnap-ai-flashcards-maker/embed,158,Free Options,1,5/5 ★,56,#8,#39
36,Content Squeezy,365 days worth of social media content ideas,https://www.producthunt.com/posts/content-squeezy/embed,124,Payment Required,1,5/5 ★,72,#9,#46
37,Many Penny,"Skip the flyers, scan, compare, and save",https://www.producthunt.com/posts/many-penny/embed,76,Free Options,0,,32,#10,#55
38,CalmAlma,Personalized stories and meditations to improve your sleep,https://www.producthunt.com/posts/calmalma/embed,92,Free Options,0,,58,#11,#60
39,Pet Booth,Create AI pet photos and portraits of your cat or dog,https://www.producthunt.com/posts/pet-booth/embed,86,Payment Required,0,,36,#12,#63
40,Textok,Create automated writing guides to never prompt tone & style,https://www.producthunt.com/posts/textok/embed,94,Free,1,5/5 ★,68,#13,#61
41,Cartfuls,The chat based e-commerce: turn conversations to conversions,https://www.producthunt.com/posts/cartfuls/embed,61,Free Options,0,,37,#14,#80
42,PixelClub,Unlimited world class design for startups for a monthly fee,https://www.producthunt.com/posts/pixelclub/embed,62,Payment Required,1,5/5 ★,15,#15,#84
43,LAUNCHED,"Building your website, smarter and faster",https://www.producthunt.com/posts/launched-3/embed,66,Free,1,5/5 ★,49,#16,#85
44,JobMatchPro AI Recruiter,"Your job search ends here, get matched to your dream company",https://www.producthunt.com/posts/jobmatchpro-ai-recruiter/embed,53,Free,0,,42,#17,#90
45,gptengineer.app,Rapid prototyping of web apps using English,https://www.producthunt.com/posts/gptengineer-app/embed,0,Free,26,5/5 ★,222,#1,#1
46,CompressX,"Significant file size reduction, similar video quality",https://www.producthunt.com/posts/compressx/embed,746,Payment Required,7,5/5 ★,204,#2,#7
47,Convertixo for E-commerce,Convert your e-commerce store into Android and iOS apps,https://www.producthunt.com/posts/convertixo-for-e-commerce/embed,495,Free Options,1,5/5 ★,108,#3,#14
48,Free AI Video Generator by Collov,Transform your ideas into mesmerising videos effortlessly,https://www.producthunt.com/posts/free-ai-video-generator-by-collov/embed,304,Free,2,5/5 ★,80,#4,#25
49,McAnswers AI,Simplify your coding journey,https://www.producthunt.com/posts/mcanswers-ai/embed,195,Free Options,4,5/5 ★,38,#5,#33
50,Data Dead Drop,"Simple file sharing, secure, self-destructing",https://www.producthunt.com/posts/data-dead-drop/embed,178,Free,1,5/5 ★,33,#6,#36
51,Progressively,Build the feature that matters to your audience,https://www.producthunt.com/posts/progressively-2/embed,127,Free,1,5/5 ★,26,#7,#51
52,OpenTaskAI,A marketplace that connects AI freelancers and business need,https://www.producthunt.com/posts/opentaskai/embed,123,Free,30,5/5 ★,24,#8,#41
53,MyLikes,All about sharing recommendations,https://www.producthunt.com/posts/mylikes/embed,103,Free,0,,51,#9,#59
54,aoyo.ai,The new AI search,https://www.producthunt.com/posts/aoyo-ai/embed,108,Free,3,4.7/5 ★,19,#10,#57
55,Hubble Tailwind CSS,A modern design blocks build with NextJS & Tailwind CSS,https://www.producthunt.com/posts/hubble-tailwind-css/embed,86,Payment Required,1,5/5 ★,33,#11,#73
56,WebPower,"Build better, faster and more reliable WordPress websites",https://www.producthunt.com/posts/webpower/embed,69,Payment Required,0,,35,#12,#76
57,authentiGPT,"Verify and certify contents generated by human, AI or both",https://www.producthunt.com/posts/authentigpt/embed,65,Free Options,1,5/5 ★,15,#13,#83
58,Habit Harbor,Say goodbye to distractions and hello to focused action,https://www.producthunt.com/posts/habit-harbor/embed,42,Free Options,1,5/5 ★,7,#14,#99
59,Qlient,"Empower your calls with AI - smart, responsive & always on",https://www.producthunt.com/posts/qlient/embed,51,Payment Required,1,5/5 ★,19,#15,#93
60,Tahche Mobile App,Easily build and manage offshore teams,https://www.producthunt.com/posts/tahche-mobile-app/embed,32,Free,0,,8,#16,#100
61,smudge.ai,"New year, new right-click menu",https://www.producthunt.com/posts/smudge-ai/embed,33,Free Options,2,5/5 ★,10,#17,#102
62,SaveMyTime for iOS,Track time effortlessly and get rid of wasted time,https://www.producthunt.com/posts/savemytime-for-ios/embed,33,Free Options,3,5/5 ★,15,#18,#104
63,HabitLoop for iOS,Gamified habit tracking,https://www.producthunt.com/posts/habitloop-for-ios/embed,24,,0,,6,#19,#109
64,PH Deck,Explore daily product launches using AI and YC wisdom,https://www.producthunt.com/posts/ph-deck/embed,813,Free,14,5/5 ★,119,#1,#3
65,PH Hunters,Find & Connect with 100+ hunters for your next PH Launch,https://www.producthunt.com/posts/ph-hunters/embed,608,Free,1,5/5 ★,177,#2,#8
66,The Bulletproof Notion Workspace 4.0,The top Notion framework gets even stronger,https://www.producthunt.com/posts/the-bulletproof-notion-workspace-4-0/embed,573,Payment Required,31,5/5 ★,101,#3,#11
67,Typeform Alternative by MakeForms,Like Typeform on steroids with 50x more responses,https://www.producthunt.com/posts/typeform-alternative-by-makeforms/embed,351,Free Options,0,,69,#4,#19
68,Clicks,A Blackberry keyboard for iPhone,https://www.producthunt.com/posts/clicks/embed,283,Payment Required,0,,31,#5,#28
69,Zing,The worry-free international money app,https://www.producthunt.com/posts/zing-ef827ba9-1bb2-4825-8a33-2095d1cc0ddc/embed,174,Free,1,5/5 ★,28,#6,#35
70,Free AI Privacy Policy & ToS Generator,"Generate your privacy policy & tos using AI, 100% free",https://www.producthunt.com/posts/free-ai-privacy-policy-tos-generator/embed,158,Free,3,4.3/5 ★,42,#7,#38
71,SmartGym,Your ultimate workout companion,https://www.producthunt.com/posts/smartgym/embed,141,Free Options,1,5/5 ★,36,#8,#43
72,Journeys,Journeys allows you to organise your photos in an easy way,https://www.producthunt.com/posts/journeys/embed,108,Free,0,,33,#9,#52
73,Setify,Your simple gym workout tracker,https://www.producthunt.com/posts/setify/embed,92,Free,1,5/5 ★,22,#10,#64
74,Repurposa,Repurpose any content with AI,https://www.producthunt.com/posts/repurposa/embed,97,Free,0,,23,#11,#62
75,Ingredient Scanner & Analyzer,Scan and assess ingredient lists,https://www.producthunt.com/posts/ingredient-scanner-analyzer/embed,76,Free Options,0,,19,#12,#69
76,T1 Tomahawk,Professional digital tape measure,https://www.producthunt.com/posts/t1-tomahawk/embed,67,Payment Required,1,5/5 ★,10,#13,#77
77,AppWeaver,Transform your ideas into apps with our AI assistant,https://www.producthunt.com/posts/appweaver/embed,75,Free,1,5/5 ★,26,#14,#75
78,Rocketgraph,Build production grade web applications in minutes,https://www.producthunt.com/posts/rocketgraph-3/embed,61,Free Options,1,5/5 ★,20,#15,#81
79,GitHub Graph Drawer,Type some text on your GitHub contributions graph,https://www.producthunt.com/posts/github-graph-drawer/embed,62,Free,1,5/5 ★,16,#16,#87
80,Map Pathfinding Visualizer,"Pathfinding visualizer on a real map, anywhere in the world",https://www.producthunt.com/posts/map-pathfinding-visualizer/embed,49,Free,1,5/5 ★,12,#17,#94
81,Last Plannr,Focus on tasks that accomplish your goals,https://www.producthunt.com/posts/last-plannr/embed,66,Free Options,1,5/5 ★,24,#18,#89
82,ResumeForrest v1.0,AI resume builder and ATS optimizer,https://www.producthunt.com/posts/resumeforrest-v1-0/embed,55,Free Options,1,5/5 ★,26,#19,#91
83,Minodor,We optimize your content to rank first on Google,https://www.producthunt.com/posts/minodor-3/embed,50,Payment Required,1,5/5 ★,11,#20,#95
84,Reiki by Web3Go,All in one AI agents creation and monetization platform,https://www.producthunt.com/posts/reiki-by-web3go/embed,0,Free,997,4.9/5 ★,405,#1,#2
85,CrackedDevs,Find remote coding jobs,https://www.producthunt.com/posts/crackeddevs/embed,530,Free,0,,74,#2,#12
86,SaaS Boilerplates,Discover the best boilerplates & SaaS starter kits,https://www.producthunt.com/posts/saas-boilerplates/embed,495,Free,0,,86,#3,#17
87,Brewed,"Build any web app with AI, just type it",https://www.producthunt.com/posts/brewed/embed,389,Free,0,,71,#4,#21
88,Youtube Looper,Loop any YouTube video or YouTube music song,https://www.producthunt.com/posts/youtube-looper/embed,218,Free,0,,42,#5,#34
89,Diffr,"Think creative, think Diffr",https://www.producthunt.com/posts/diffr/embed,135,Free Options,1,4/5 ★,20,#6,#45
90,VisualVibe AI,"Generate captions, hashtags & stories from photos",https://www.producthunt.com/posts/visualvibe-ai/embed,95,Free,0,,34,#7,#65
91,Digitapes,One click photo and video montages,https://www.producthunt.com/posts/digitapes/embed,85,Free Options,0,,34,#8,#67
92,CommodityPriceAPI,"Simple, fast and reliable JSON API for commodities",https://www.producthunt.com/posts/commoditypriceapi/embed,81,Free Options,0,,24,#9,#78
93,MyGigz,"Share your live gigs, amplify your stage",https://www.producthunt.com/posts/mygigz/embed,62,Free,1,5/5 ★,31,#10,#82
94,Branding5,Find your brand identity,https://www.producthunt.com/posts/branding5/embed,942,Free Options,8,4.9/5 ★,228,#1,#5
95,Maillayer,Send email campaigns via Amazon SES with NoCode,https://www.producthunt.com/posts/maillayer/embed,485,Free,0,,77,#2,#15
96,CamoCopy 2.0,"Privacy friendly AI assistant, encrypted & private data",https://www.producthunt.com/posts/camocopy-2-0/embed,267,,2,5/5 ★,48,#3,#27
97,Invxst AI,AI powered investing simplified in one hub,https://www.producthunt.com/posts/invxst-ai/embed,254,Free Options,0,,51,#4,#31
98,Catalyst,"Strategic applications, networking & referral management",https://www.producthunt.com/posts/catalyst-5/embed,194,Free,0,,51,#5,#37
99,YOTO,"Mini sites, major impact – linking journeys, building dreams",https://www.producthunt.com/posts/yoto-2/embed,114,Free,0,,28,#6,#50
100,Spawn,Generate D&D character sheets with AI,https://www.producthunt.com/posts/spawn-2/embed,120,Free,0,,22,#7,#54
101,Ozeily,Connect your bank and earn cashback on all your expenses,https://www.producthunt.com/posts/ozeily/embed,101,Free Options,0,,29,#8,#58
102,Rely.io,The developer portal with an AI assistant you can speak with,https://www.producthunt.com/posts/rely-io-2/embed,856,Free Options,121,5/5 ★,281,#1,#7
103,Stylar,Your ultimate controllable AI image editor,https://www.producthunt.com/posts/stylar/embed,757,Free,10,4.9/5 ★,150,#2,#10
104,Tablize,"Tablize your data, AI-easy dashboards",https://www.producthunt.com/posts/tablize/embed,423,Free Options,2,5/5 ★,111,#3,#17
105,Resources for Early-Stage Founders,"Dozens of templates, articles & videos to help you grow",https://www.producthunt.com/posts/resources-for-early-stage-founders/embed,491,Free,1,4/5 ★,62,#4,#19
106,pipl.ai,AI-powered cold email automation without breaking the bank,https://www.producthunt.com/posts/pipl-ai/embed,367,Free Options,2,5/5 ★,74,#5,#34
107,AVI by True AI,The end of fake news,https://www.producthunt.com/posts/avi-by-true-ai/embed,228,Free,1,5/5 ★,89,#6,#46
108,DOConvert,Intelligence document processing platform that extracts data,https://www.producthunt.com/posts/doconvert/embed,213,Payment Required,4,5/5 ★,66,#7,#49
109,Bland Turbo,Experience the fastest conversational AI ever,https://www.producthunt.com/posts/bland-turbo/embed,204,Free Options,5,2.6/5 ★,31,#8,#50
110,ncScale 2.0,"Datadog for no code, 1 click monitoring for no code stack",https://www.producthunt.com/posts/ncscale-2-0/embed,193,Free Options,1,4/5 ★,54,#9,#55
111,TheDevStarter,Next.js and Django SaaS Boilerplate,https://www.producthunt.com/posts/thedevstarter/embed,132,Payment Required,0,,29,#10,#66
112,Neuralhub,Design and build AI architectures,https://www.producthunt.com/posts/neuralhub/embed,129,Free,1,5/5 ★,41,#11,#69
113,WP-Stack,All in one website management dashboard for WordPress sites,https://www.producthunt.com/posts/wp-stack/embed,122,Free Options,2,5/5 ★,21,#12,#77
114,Monetise Your GPT,Add Stripe checkout to your GPTs,https://www.producthunt.com/posts/monetise-your-gpt/embed,121,Free,1,5/5 ★,38,#13,#71
115,SQUAR CLUB,Design community for creative professionals to learn & grow,https://www.producthunt.com/posts/squar-club/embed,92,Free,0,,40,#14,#89
116,FinTok.io,Unlock your unfair investing advantage,https://www.producthunt.com/posts/fintok-io-b2a2036c-9028-43f2-9496-4b1b3c71b0ec/embed,85,Free,3,5/5 ★,26,#15,#98
117,Onboardix,Employee engagement and onboarding software,https://www.producthunt.com/posts/onboardix/embed,86,Free,0,,21,#16,#97
118,Moul,"Elevate your visual storytelling, elevate your audience",https://www.producthunt.com/posts/moul-2/embed,89,Free Options,0,,24,#17,#92
119,RoadMapWP,Unlock user-driven roadmaps in WordPress,https://www.producthunt.com/posts/roadmapwp/embed,72,Free Options,1,5/5 ★,16,#18,#107
120,WhisperUI,Most affordable text-to-speech and speech-to-text service,https://www.producthunt.com/posts/whisperui/embed,73,Free Options,0,,8,#19,#105
121,Replyke,"React, reply, relate: interactive commenting for your sites",https://www.producthunt.com/posts/replyke/embed,74,Free,1,5/5 ★,31,#20,#106
122,FullEnrich,"Waterfall enrichment email & phone, all vendors, one place",https://www.producthunt.com/posts/fullenrich/embed,0,Free Options,32,4.9/5 ★,270,#1,#3
123,Rainex,Your ideal billing and subscription management system,https://www.producthunt.com/posts/rainex/embed,823,Free Options,7,4.9/5 ★,287,#2,#8
124,Sama AI,Wearable AI mentor that proactively helps you become better,https://www.producthunt.com/posts/sama-ai/embed,450,Free,1,4/5 ★,137,#3,#21
125,Weberlo,Marketing attribution software,https://www.producthunt.com/posts/weberlo/embed,382,Free,2,5/5 ★,67,#4,#24
126,Items Design,Free AI generated design assets,https://www.producthunt.com/posts/items-design/embed,391,Free Options,0,,55,#5,#29
127,OkFeedback,"Survey forms, rating widget, spot and fix UI bugs easily",https://www.producthunt.com/posts/okfeedback/embed,270,Free Options,0,,100,#6,#40
128,Invoice Builder by Tola,Create beautiful invoices in seconds,https://www.producthunt.com/posts/invoice-builder-by-tola/embed,238,Free,1,5/5 ★,66,#7,#47
129,Followr,"Social media on autopilot, powered by AI",https://www.producthunt.com/posts/followr-4/embed,179,Free Options,42,5/5 ★,42,#8,#58
130,snippet.run,"Run your code, from the cloud on your computer",https://www.producthunt.com/posts/snippet-run/embed,156,Free Options,0,,39,#9,#60
131,Generative AI by iStock,Text-to-image platform designed to make stock photos,https://www.producthunt.com/posts/generative-ai-by-istock/embed,150,Payment Required,0,,15,#10,#63
132,MyHabbit,Improve your habits,https://www.producthunt.com/posts/myhabbit/embed,104,Free,0,,26,#11,#73
133,DigBI,Empowering product teams with up-to-date competitor insights,https://www.producthunt.com/posts/digbi/embed,101,Free Options,0,,38,#12,#76
134,English Coach AI,Transform your business English skills with an AI coach,https://www.producthunt.com/posts/english-coach-ai/embed,94,Free,0,,37,#13,#86
135,Samsung Ballie,"A cute, personal robot from Samsung",https://www.producthunt.com/posts/samsung-ballie/embed,97,Payment Required,9,4.4/5 ★,8,#14,#83
136,RateHighly,Automatically collect reviews from your app's active users,https://www.producthunt.com/posts/ratehighly/embed,86,Free,1,5/5 ★,25,#15,#99
137,Finvest,The easy way to buy US Treasury Bills,https://www.producthunt.com/posts/finvest/embed,85,Free,0,,9,#16,#94
138,Paint Potion,Create stylish & consistent vector illustrations in seconds,https://www.producthunt.com/posts/paint-potion/embed,105,Payment Required,0,,25,#17,#88
139,PDF Charts,Charts for busy developers,https://www.producthunt.com/posts/pdf-charts/embed,87,Free Options,0,,24,#18,#95
140,Packem,Effortless way to track inventory and orders for ecommerce,https://www.producthunt.com/posts/packem/embed,51,Free Options,0,,14,#19,#120
141,TurboScribe,Convert audio and video to accurate text in seconds with AI,https://www.producthunt.com/posts/turboscribe/embed,59,Free Options,1,5/5 ★,16,#20,#117
142,Seemless,From social to site with zero disruption,https://www.producthunt.com/posts/seemless/embed,856,Free,4,5/5 ★,300,#1,#5
143,Potis AI,Your hiring copilot that tests the real skills,https://www.producthunt.com/posts/potis-ai/embed,658,,3,5/5 ★,161,#2,#9
144,Fliz AI,Turn any URL into a stunning video with AI,https://www.producthunt.com/posts/fliz-ai/embed,519,Free Options,9,4.6/5 ★,186,#3,#11
145,Rabbit r1,AI powered pocket companion,https://www.producthunt.com/posts/rabbit-r1/embed,647,Payment Required,0,,79,#4,#14
146,,,,0,,0,,0,,
147,Startup Ratings,A guide to the top companies to work at today,https://www.producthunt.com/posts/startup-ratings/embed,315,Free,0,,54,#6,#36
148,Rimo,"Talk today, publish tomorrow - AI’s article revolution",https://www.producthunt.com/posts/rimo/embed,257,Free,1,5/5 ★,71,#7,#41
149,FREE Youtube Summarizer - Syllaby,Use ChatGPT to summarize YouTube videos with Syllaby,https://www.producthunt.com/posts/free-youtube-summarizer-syllaby/embed,289,Free,5,5/5 ★,117,#8,#37
150,Starlink Direct to Cell,A cellphone tower in space,https://www.producthunt.com/posts/starlink-direct-to-cell/embed,186,Payment Required,0,,35,#9,#54
151,Klart AI,AI assistant for everyone in your organization,https://www.producthunt.com/posts/klart-ai/embed,109,Free Options,2,5/5 ★,36,#10,#70
152,Codara,AI code review and AI code diagnostics,https://www.producthunt.com/posts/codara/embed,115,Payment Required,0,,41,#11,#72
153,Journal.,A social journal with daily prompts,https://www.producthunt.com/posts/journal-8/embed,106,Free,0,,25,#12,#82
154,Brill,Your AI powered productivity platform,https://www.producthunt.com/posts/brill-c257a2a0-f70e-455d-a5ca-a6a35959354c/embed,84,Free,0,,22,#13,#90
155,Addio,Create an estate plan over your morning coffee,https://www.producthunt.com/posts/addio/embed,87,Free Options,0,,31,#14,#93
156,Sleepmi Z3,The smart anti-snoring device,https://www.producthunt.com/posts/sleepmi-z3/embed,66,Payment Required,0,,11,#15,#108
157,miflow®,Holistic solution for boost efficiency and profitability,https://www.producthunt.com/posts/miflow-2/embed,59,Payment Required,0,,18,#16,#114
158,Auria Mail,Like having your own email marketing team,https://www.producthunt.com/posts/auria-mail/embed,64,Payment Required,0,,12,#17,#110
