,Date,Name,Description,Topic 1,Topic 2,Topic 3,URL,Upvotes,Pricing,Reviews,Product Rating,Comments,Day Rank,Week Rank
0,2024-02-06,MarketingIdeas.com,Never run out of marketing ideas ever again,Newsletters,Marketing,Tech,,0,Free,15,4.8/5 ★,473,#1,#1
0,2024-02-06,PopAi,Your personal AI workspace,Productivity,Artificial Intelligence,Bots,,721,Free Options,4,3.5/5 ★,201,#2,#11
0,2024-02-06,toddle,Change the way your team builds products,Web App,Developer Tools,No-Code,,653,Free Options,19,4.9/5 ★,213,#3,#15
0,2024-02-06,Bloks,Get briefed like a boss,Productivity,Meetings,Virtual Assistants,,662,Free Options,31,4.9/5 ★,282,#4,#16
0,2024-02-06,GEMIX,"Generate the perfect profile picture for you, in any style",Artificial Intelligence,Photo & Video,Photo editing,,433,Free Options,0,,144,#5,#24
0,2024-02-06,Rupert,Push data to Slack with Rupert's no-code alert builder,Productivity,Artificial Intelligence,Data & Analytics,,360,Free Options,1,5/5 ★,167,#6,#30
0,2024-02-06,SmartChat Assistant,"Create AI powered bots, embed with ease",Developer Tools,Artificial Intelligence,Bots,,238,Free Options,2,5/5 ★,94,#7,#35
0,2024-02-06,Learning Loop,A peer-to-peer residency for the elite tech founders,Education,Business,Community,,338,Payment Required,1,5/5 ★,149,#8,#41
0,2024-02-06,Repurpose Pie,Convert your tweets to videos automatically & autopost,Twitter,Social Media,Video,,317,Payment Required,5,5/5 ★,204,#9,#42
0,2024-02-06,Kompas AI,Sophisticated AI agents at Work,Productivity,Artificial Intelligence,,,263,Free Options,5,4.8/5 ★,118,#10,#45
0,2024-02-06,Plannifyra,One smart tool for all your business planning needs,Productivity,Tech,,,197,Free Options,0,,73,#11,#59
0,2024-02-06,MyDevPage,Build your portfolio website in minutes,Website Builder,Developer Tools,No-Code,,170,Free Options,1,4/5 ★,82,#12,#63
0,2024-02-06,artbox,A library of high quality AI visuals for your project,Marketing,Artificial Intelligence,Digital Art,,146,Free,0,,43,#13,#75
0,2024-02-06,NextUI Pro,Ship faster with beautiful components,Design Tools,Developer Tools,Artificial Intelligence,,198,Payment Required,22,5/5 ★,81,#14,#69
0,2024-02-06,Axterior,ATS that helps your company to grow: new features,Hiring,SaaS,Tech,,106,Free Options,1,5/5 ★,13,#15,#88
0,2024-02-06,AISEO Humanizer,Achieve 100% human score with our AI Humanizer,Productivity,Marketing,Artificial Intelligence,,86,Free Options,5,2.4/5 ★,19,#16,#92
0,2024-02-06,Divinate,"Uncover user research insights with AI, eliminate busywork",Design Tools,User Experience,Artificial Intelligence,,103,Payment Required,1,4/5 ★,45,#17,#90
0,2024-02-07,Coefficient for Excel,Sync live data into Excel from SaaS systems & DBs in seconds,Productivity,Analytics,Spreadsheets,,713,Free Options,17,4.9/5 ★,249,#1,#7
0,2024-02-07,,,,,,,0,,0,,0,,
0,2024-02-07,CodeDesign.AI for WordPress,Transform your idea into a gorgeous website with AI,WordPress,Website Builder,Artificial Intelligence,,628,Free Options,11,5/5 ★,123,#4,#17
0,2024-02-07,Coze,The easiest way to build AI bots,Messaging,Developer Tools,Artificial Intelligence,,659,Free,11,4.9/5 ★,130,#5,#18
0,2024-02-07,Foundersuite 2.0,Modern software for raising capital,Productivity,Venture Capital,Fundraising,,258,Free Options,10,5/5 ★,118,#6,#34
0,2024-02-07,Bluesky,"Social media as it should be, now open to all",Open Source,Social Network,Social Media,,414,Free,3,4.3/5 ★,59,#7,#32
0,2024-02-07,Galileo AI,Generate mobile and desktop user interfaces with AI,Design Tools,Productivity,Artificial Intelligence,,336,Free Options,12,4.8/5 ★,76,#8,#39
0,2024-02-07,AgentHub,Automate any workflow with AI,Developer Tools,Artificial Intelligence,No-Code,,332,Free Options,4,5/5 ★,110,#9,#38
0,2024-02-07,,,,,,,0,,0,,0,,
0,2024-02-07,Session Replay by Amplitude,Session Replay shows what your customers are doing and why,Analytics,SaaS,Tech,,184,Free Options,32,4.8/5 ★,53,#11,#58
0,2024-02-07,Figma to Shopify with Instant,Copy and paste any Figma frame and export to Shopify,Website Builder,E-Commerce,No-Code,,148,Free Options,5,5/5 ★,71,#12,#64
0,2024-02-07,SalesQL LinkedIn Email Extractor,LinkedIn leads for sales and marketing teams,Email,Sales,LinkedIn,,128,Free Options,4,5/5 ★,83,#13,#78
0,2024-02-07,Guide Magnet,Create beautiful product marketing demos that convert,Chrome Extensions,Sales,Marketing,,117,Free Options,0,,42,#14,#81
0,2024-02-07,ImgGen AI,"AI-powered image generator & editor, 100% free",Design Tools,Artificial Intelligence,Photo editing,,123,Free,2,5/5 ★,37,#15,#80
0,2024-02-07,Movie Me!,Discover movies and shows that move you,Android,Tech,Entertainment,,123,Free,1,5/5 ★,27,#16,#83
0,2024-02-07,Squidler.io,"Autonomous website testing, simply provide your URL",SaaS,Developer Tools,No-Code,,90,Free Options,1,5/5 ★,24,#17,#93
0,2024-02-07,Nx Agents,"Effortless, fast CI",SaaS,Software Engineering,Developer Tools,,79,,9,4.9/5 ★,13,#18,#97
0,2024-02-08,Wondera,Karaoke and transform any songs in your AI voice,Music,Artificial Intelligence,Audio,,899,Free,3,4.7/5 ★,326,#1,#4
0,2024-02-08,Data Analyst AI,Connect Google Analytics to ChatGPT for weekly insights,Analytics,Artificial Intelligence,E-Commerce,,590,Free Options,0,,251,#2,#13
0,2024-02-08,DealLab,"Digital sales room for consolidating, sharing, and tracking",Sales,Customer Communication,SaaS,,588,Free Options,6,5/5 ★,298,#3,#14
0,2024-02-08,Just Launch It,"Launch your startup now, before you miss the boat",Developer Tools,Development,,,395,Payment Required,3,5/5 ★,117,#4,#22
0,2024-02-08,Retell AI,API that helps developers build human-like voice agents,Developer Tools,Artificial Intelligence,Audio,,446,Free Options,3,5/5 ★,118,#5,#23
0,2024-02-08,,,,,,,0,,0,,0,,
0,2024-02-08,NVST.ly,"Where retail investors track, share, or copy trades",Android,Fintech,Social Media,,469,Free,89,4.9/5 ★,374,#7,#25
0,2024-02-08,Langcheck,Tool for non-native speakers,Writing,Languages,Artificial Intelligence,,152,Free Options,0,,76,#8,#44
0,2024-02-08,Tigbar,Let's do a fun challenge with friends,Android,Social Network,Social Media,,317,Free,11,4.7/5 ★,189,#9,#49
0,2024-02-08,Audemic Insights,"Blinkist but for 11,000+ research papers and reports",Android,Education,Audio,,270,Free,5,5/5 ★,47,#10,#48
0,2024-02-08,Free Webcam Wonders By Museclip,See your world transform through your Camera,Design Tools,Art,Artificial Intelligence,,195,Free,0,,74,#11,#57
0,2024-02-08,meals.chat,"Send me pics of your food, track your calories and macros",Artificial Intelligence,Bots,Food & Drink,,164,Free Options,2,5/5 ★,48,#12,#65
0,2024-02-08,Dittto,Fix your hero copy with an AI trained on top SaaS websites,Productivity,Marketing,SaaS,,148,Free Options,6,5/5 ★,64,#13,#74
0,2024-02-08,Brick Generator,Transform text into Lego models,Funny,Design Tools,Artificial Intelligence,,129,Free,1,5/5 ★,26,#14,#84
0,2024-02-08,Tuist 4,Supercharge your Xcode development workflows,Productivity,Software Engineering,Developer Tools,,115,Free,2,5/5 ★,22,#15,#87
0,2024-02-08,Whimsical Template Library,"Best-in-class templates, designed for product teams",Design Tools,Productivity,Wireframing,,102,Free Options,193,4.9/5 ★,10,#16,#91
0,2024-02-08,LLM Prompt & Model Playground,Test LLM prompts & models side-by-side against many inputs,A/B Testing,Developer Tools,Artificial Intelligence,,67,Free,0,,20,#17,#102
0,2024-02-09,Heyday,"AI copilot for your own research, notes & conversations",Browser Extensions,Productivity,Artificial Intelligence,,0,Free Options,43,4.9/5 ★,383,#1,#3
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,Capitol AI,"AI content creation blending storytelling, design & research",Productivity,Artificial Intelligence,Digital Art,,831,Free,12,5/5 ★,221,#3,#12
0,2024-02-09,Yuna AI,Your mental health companion,Health & Fitness,Artificial Intelligence,Social Impact,,320,Free Options,5,5/5 ★,129,#4,#29
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,Gemini & Gemini Advanced,The best way to get direct access to Google AI,Android,Artificial Intelligence,Search,,291,Free Options,840,4.7/5 ★,18,#6,#47
0,2024-02-09,Backlink Monitor,"Manage, monitor & get backlinks indexed",Marketing,SEO,SaaS,,174,,1,5/5 ★,34,#7,#50
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,CodeSignal Learn,"Practice the most in-demand skills with AI tutor, Cosmo",Education,Artificial Intelligence,Online Learning,,188,Free Options,1,5/5 ★,51,#9,#61
0,2024-02-09,Tailwind Skeleton Generator,Create tailwind loading skeletons from your current code,Developer Tools,Web Design,,,188,Free,0,,16,#10,#66
0,2024-02-09,Augie Storyteller,Turn your stories into animated videos,Artificial Intelligence,Family,Video,,172,Payment Required,7,5/5 ★,35,#11,#68
0,2024-02-09,Synthical,Research faster,Productivity,Artificial Intelligence,Science,,123,Free,3,4.7/5 ★,31,#12,#86
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,,,,,,,0,,0,,0,,
0,2024-02-09,ChatPdf.so,Chat with your data using AI,Productivity,SaaS,Artificial Intelligence,,57,Free Options,1,5/5 ★,30,#18,#122
0,2024-02-09,The Flip Clock,A minimalist flip clock screensaver ✌️,Productivity,Photography,Wallpaper,,68,Free,0,,24,#19,#118
0,2024-02-09,Flylighter,"Capture anything to Notion - sites, highlights, images, more",Browser Extensions,Productivity,Notion,,65,,0,,10,#20,#124
0,2024-02-10,Hey.bio,Make your link-in-bio awesome,Productivity,Social Media,Marketing,,475,Free,1,1/5 ★,65,#1,#28
0,2024-02-10,Figicon,Flaticon alternative for free SVG icons,Design Tools,Icons,Developer Tools,,420,Free,0,,124,#2,#33
0,2024-02-10,Jan,Open-source ChatGPT alternative that runs 100% offline,Open Source,Privacy,Artificial Intelligence,,437,Free,2,4/5 ★,50,#3,#37
0,2024-02-10,Reposter.app,"Organize, schedule and share posts on X for free in minutes",Productivity,Open Source,Social Media,,165,Payment Required,0,,57,#4,#52
0,2024-02-10,BioDrop,The LinkTree for techies,Events,Social Media,Marketing,,210,Free Options,0,,78,#5,#56
0,2024-02-10,AI-Powered Landing Page Generator,Create landing pages with AI,Web App,Marketing,Developer Tools,,152,Free Options,0,,17,#6,#71
0,2024-02-10,MojiPulse,Collect feedback from your users with emojis,User Experience,Customer Communication,SaaS,,106,Free Options,0,,44,#8,#89
0,2024-02-10,ShoutOut,Collab with local businesses,Social Media,Marketing,Lifestyle,,93,Free,1,4/5 ★,19,#9,#101
0,2024-02-10,PolarLoc - Photos Geolocation,"Crisp images, geo-stamped",Android,Productivity,Photography,,58,,0,,6,#10,#109
0,2024-02-10,Vested CoFounders,"Find a CoFounder, get funded",SaaS,Tech,Fundraising,,55,Free Options,0,,10,#11,#132
0,2024-02-10,CB2 for iPhone,Well made is always worth it,Shopping,Furniture,,,58,Free,0,,5,#12,#143
0,2024-02-10,Seedley,"AI chat agent builder, engage website visitors, drive sales",Sales,Marketing,SaaS,,34,Free Options,1,5/5 ★,13,#13,#186
0,2024-02-10,WagerPool,Fantasy sports betting app without financial ruin,Sports,Football,Sports Games,,34,Free,0,,9,#14,#187
0,2024-02-10,Open Love - AI girlfriend,Play the game to win back your upset AI girlfriend's heart,Artificial Intelligence,,,,26,Free Options,0,,5,#15,#198
0,2024-02-10,The Newsletter Tool Database,Over 100+ tools to help you start your newsletter,Newsletters,Email Marketing,,,0,Free,0,,0,,
0,2024-02-10,2024 Marketing Trends eBook,Mapping 2024 with defining marketing trends,Marketing,,,,0,Free,0,,0,,
0,2024-02-10,B2B Crux,The marketplace for B2B services,Sales,Marketing,E-Commerce,,0,,0,,0,,
0,2024-02-10,Solar Loan Amortization Calculator,Calculate the ammortization on your solar loan,Climate Tech,,,,0,Free,0,,0,,
0,2024-02-10,Notion Template - Pet Care Dashboard,Have a complete template to take care of your pet,Health & Fitness,Dogs,Pets,,0,Payment Required,0,,0,,
0,2024-02-10,AI Dream Interpreter - Dreams Unraveled.,Decode your subconscious!,Artificial Intelligence,Bots,Tech,,0,Free,0,,0,,
